type,name,postal_code,address,latitude,longitude,running_time,tel,email,budget,description,advice,holiday,parking,home_page,owner_id,instagram,twitter,youtube,status,created_user,updated_user,opening_hours,facility_id,image,order,created_user
1,Cookhal(クックハル),9050012,名護市字名護4607-1　ネオパークオキナワ駐車場奥,26.612499,127.993554,80分（許田ICから20分　ネオパークオキナワ駐車場奥）,980437170,okinawaharuser@gmail.com,,自社農園，提携農家さんの旬のやんばる野菜をふんだんに使ったお料理をいただけます！,,日曜日,有り（200台）,http://haruser.jp/supportshop/2014/11/cookhal.html,1,,,,,1,1,9:00〜17:00,1,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,1,1
1,さくら食堂,9050013,沖縄県名護市城１丁目４−１１,26.589498,127.984139,,980543939,,,スタミナもやしそばボリュームがあって男ウケ抜群な味,,不定休,有り（名護市営市場の駐車場が利用できます）,http://nago-ichiba.com/ichiba/?page_id=110,1,,,,,1,1,11:00〜15:00 18:00〜22:00,2,http://nago-ichiba.com/ichiba/wp-content/uploads/2016/06/sakurasyokudou_535x315.jpg,2,1
1,タイ食堂 チャバー,9050015,沖縄県名護市大南２丁目３−１,26.593089,127.977503,,8027514167,chabar2017nago@gmail.com,,卵焼きの入ったサラダが絶品でした,ランチ　月〜金　13:30〜14:00／ディナー　水木金　17:30〜23:00,土日,なし,https://www.facebook.com/%E3%82%BF%E3%82%A4%E9%A3%9F%E5%A0%82-%E3%83%81%E3%83%A3%E3%83%90%E3%83%BC-286239301873651/,1,,,,,1,1,11:00〜14:00 18:00〜23:00,3,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,3,1
1,大左衛門,9050009,沖縄県名護市宇茂佐の森１丁目４−１,26.600949,127.965795,,980523525,,,コロナに対応してテイクアウトOKになってたのでお持ち帰り,,火曜日,有り,https://www.facebook.com/%E5%AF%BF%E5%8F%B8%E5%87%A6-%E5%A4%A7%E5%B7%A6%E8%A1%9B%E9%96%80SushiPlace-518215351700243/,1,,,,,1,1,17:00〜22:00,4,https://lh5.googleusercontent.com/p/AF1QipPi0J9jLGVnet66WIFaGnTIYcCeNCg3iuBi4vut=w493-h240-k-no,4,1
1,紅さんご,9050017,沖縄県名護市大中１丁目４−５ 丸元ビル 101,26.590893,127.982812,,980520202,,,沖縄の名護でお刺身を食べるならダントツで紅さんご！マグロの赤みは味も食感も抜群でした。オーナーさんとの日本料理トークもめちゃくちゃ楽しいです！揃えてある日本酒も季節毎に変更、毎回美味しい日本酒が待ってます！,,月曜日,有り,,1,,,,,1,1,18:00,5,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,5,1
1,具志堅多幸寿ハンバーガー タコス,9050013,沖縄県名護市城１丁目１７−１８,26.589588,127.981469,,980530516,,,普通のタコライスと違い挽肉に紛れてチキンが入ってました！タレは少なめだけどお肉にしっかり味がついてるので気になりません。沖縄で有名なタコライス屋さんはキングタコスですが、そちらとはまた違った味が楽しめます、個人的にはこちらの味の方が好き！,コロナの影響で飲食店が苦しい状況に立たされているからこそ、積極的にテイクアウトを利用していきます！ 「お釣りは要らないです」と伝えたらお菓子もおまけで付けてくれました、とっても温かいお店です！,"不定休（ただし、2020年8月3,10,17,24,31日店休となります。）",無（市営駐車場、または市営市場駐車場をご利用ください。）,https://www.facebook.com/%E5%85%B7%E5%BF%97%E5%A0%85%E5%A4%9A%E5%B9%B8%E5%AF%BF-188787978591313/?ref=py_c,1,,,,,1,1,11:00〜20:00,6,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,6,1
1,焼肉乃我那覇 本店,9050011,沖縄県名護市字宮里 １４１０−１ 2F,26.605162,127.976121,,980526629,,,外出出来ないなら家でバーベキューやれば良いじゃない！！！お肉に癒されれば良いじゃない！！！ ということで焼肉我那覇さんでお肉を買い、家でバーベキューすることにしました！,普段はお肉の販売だけでなく、2階のお店で焼肉をご馳走になることができます！コロナがおさまったらまた行くぞ！,不定休,有り,https://www.ganaha-butaniku.co.jp/honten,1,,,,,1,1,11:00〜15:00 17:00〜23:00,7,https://www.ganaha-butaniku.co.jp/wp-content/uploads/honten_img001.jpg,7,1
1,やんばるダイニング 松の古民家,9050015,沖縄県名護市大南２丁目１４−５,26.594012,127.977362,,5034764754,,,モツは一切の臭みもなくプリプリで本当に美味しかったです！,2人前で3000円（鍋貸出あり）は驚きのコスパ！,木曜日,有り（10台）,https://matsu-no-kominka.gorp.jp/,1,,,,,1,1,18:00〜23:00,8,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,8,1
1,ベンジャミンバーガー,9051635,沖縄県名護市字済井出２５９−１,26.668599,128.022425,,980528222,,,名護にはキャプテンカンガルーという有名なハンバーガー屋さんがあるけどそこは毎日行列でめっちゃ並ぶ！それに比べてベンジャミンバーガーは並ぶ必要なし！でもハンバーガーは美味しい！,男子満足のメニュー！ぜひ足を運んでみてください,木曜日,有り,https://www.facebook.com/pages/Benjamin-Burger/281047192396642,1,,,,,1,1,11:00〜19:00,9,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,9,1
1,琉音 ruon,9050016,沖縄県名護市大東２丁目８−６,26.588659,127.987633,沖縄自動車道「許田I.C.」車で15分,5033135542,,,ユーリンチーはしっかりと辛味があり、カラアゲマスタードはカラシマヨたっぷり！！！どちらもビールが超すすむ男子好みの味でしたw,初の居酒屋テイクアウトでしたが、案外良いものですよ！味は美味しいし、準備はしなくて良いし、片付けは最小限で済むし、家で飲んだくれてもすぐ寝れるしw,不定休,有り（7台）,https://www.ruon-okinawa.jp/,1,,,,,1,1,17:00〜23:00,10,https://www.ruon-okinawa.jp/wp-content/uploads/shop_img001.jpg,10,1
